date,team,rank,points,source,retrieved_at
2018-05-17,Denmark,12,,snapshot:fifa_2018-05-17.csv,2026-06-22T22:06:16.800256+00:00
2019-07-25,Denmark,13,1589.0,snapshot:fifa_2019-07-25.csv,2026-06-22T22:06:16.830433+00:00
2022-10-06,Denmark,10,1666.57,snapshot:fifa_2022-10-06.csv,2026-06-22T22:06:16.846448+00:00
2024-04-04,Denmark,21,,snapshot:fifa_2024-04-04.csv,2026-06-22T22:06:16.864343+00:00
2026-06-11,Denmark,21,1619.47,snapshot:fifa_2026-06-11.csv,2026-06-22T22:06:16.926026+00:00
2018-05-17,Djibouti,198,,snapshot:fifa_2018-05-17.csv,2026-06-22T22:06:16.800256+00:00
2024-04-04,Djibouti,192,,snapshot:fifa_2024-04-04.csv,2026-06-22T22:06:16.864343+00:00
2026-06-11,Djibouti,196,853.58,snapshot:fifa_2026-06-11.csv,2026-06-22T22:06:16.926026+00:00
2018-05-17,Dominica,177,,snapshot:fifa_2018-05-17.csv,2026-06-22T22:06:16.800256+00:00
2024-04-04,Dominica,180,,snapshot:fifa_2024-04-04.csv,2026-06-22T22:06:16.864343+00:00
2026-06-11,Dominica,182,897.69,snapshot:fifa_2026-06-11.csv,2026-06-22T22:06:16.926026+00:00
2018-05-17,Dominican Republic,149,,snapshot:fifa_2018-05-17.csv,2026-06-22T22:06:16.800256+00:00
2024-04-04,Dominican Republic,150,,snapshot:fifa_2024-04-04.csv,2026-06-22T22:06:16.864343+00:00
2026-06-11,Dominican Republic,144,1076.5,snapshot:fifa_2026-06-11.csv,2026-06-22T22:06:16.926026+00:00
2014-05-08,Ecuador,28,794.0,snapshot:fifa_2014-05-08.csv,2026-06-22T22:06:16.766522+00:00
2016-06-02,Ecuador,13,978.0,snapshot:fifa_2016-06-02.csv,2026-06-22T22:06:16.782449+00:00
2018-05-17,Ecuador,63,,snapshot:fifa_2018-05-17.csv,2026-06-22T22:06:16.800256+00:00
2024-04-04,Ecuador,31,,snapshot:fifa_2024-04-04.csv,2026-06-22T22:06:16.864343+00:00
2026-06-11,Ecuador,23,1598.52,snapshot:fifa_2026-06-11.csv,2026-06-22T22:06:16.926026+00:00
2010-05-26,Egypt,12,967.0,snapshot:fifa_2010-05-26.csv,2026-06-22T22:06:16.733133+00:00
2014-05-08,Egypt,24,798.0,snapshot:fifa_2014-05-08.csv,2026-06-22T22:06:16.766522+00:00
2018-05-17,Egypt,46,,snapshot:fifa_2018-05-17.csv,2026-06-22T22:06:16.800256+00:00
2024-04-04,Egypt,37,,snapshot:fifa_2024-04-04.csv,2026-06-22T22:06:16.864343+00:00
